5.000, 3.721
6.000, 5.491
7.000, 5.996
8.000, 6.974
9.000, 6.460
10.000, 5.908
11.000, 4.928
12.000, 4.727
13.000, 3.923
14.000, 4.076
15.000, 2.891
16.000, 3.419
17.000, 4.866
18.000, 5.115
19.000, 7.585
20.000, 9.718
5.000, 4.646
6.000, 4.949
7.000, 6.328
8.000, 6.659
9.000, 6.065
10.000, 6.130
11.000, 4.814
12.000, 5.016
13.000, 3.663
14.000, 4.089
15.000, 3.046
16.000, 2.969
17.000, 4.417
18.000, 5.769
19.000, 7.450
20.000, 9.490
5.000, 4.230
6.000, 5.714
7.000, 6.012
8.000, 6.058
9.000, 6.563
10.000, 5.553
11.000, 5.510
12.000, 5.188
13.000, 3.958
14.000, 3.653
15.000, 2.837
16.000, 3.470
17.000, 3.975
18.000, 5.334
19.000, 7.355
20.000, 9.228
